OBJECTID,TypeCode,LandUseTyp,Street,Price,ARPrice,ORPrice
37,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
38,NNO,Existing Residential, ,0,0,0
39,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
40,GD,Vuon Hong  Kindergarten, ,0,0,0
41,CCDT,"Medical station of Ward 5, District 3", ,0,0,0
42,NNO,Existing Residential, ,0,0,0
43,CQCT,Company Limited Beetech Solution, ,0,0,0
44,CQCT,Company Limited Van Hau Tm Services, ,0,0,0
45,NNO,Existing Residential, ,0,0,0
46,CQCT,Company Limited Creative Arts, ,0,0,0
47,NNO,Existing Residential,Nguyen Van Cu,350,0,0
48,NNO,Existing Residential, ,0,0,0
49,CQCT,Company Limited Vu Nguyen Qc, ,0,0,0
50,CQCT,Corporation Phuc Yen Prosper Group, ,0,0,0
51,HH,Company Limited Johama, ,0,0,0
52,NNO,Existing Residential,Nguyen Bieu,238.33,0,0
53,CQCT,Company Limited Electrical Engineering Originally Posted, ,0,0,0
54,CQCT,Company Limited Hung Thinh An, ,0,0,0
55,CCDT,Irrigation Science Institute of the South (SIWRR), ,0,0,0
56,HTKT,Vinalink Transport Depot, ,0,0,0
57,HH,Apartment No. 3,Nguyen Bieu,0,0,0.18
58,NNO,Existing Residential,Nguyen Van Cu,350,0,0
59,NNO,Existing Residential, ,0,0,0
60,CQCT,Vietcombank Do Thanh Transaction Office, ,0,0,0
61,CQCT,Tan Thuan Post Office, ,0,0,0
62,GD,Vang Anh Kindergarten, ,0,0,0
63,CQCT,Transaction Office Nguyen Van Cu - Ben Nghe Branch - Joint Stock Commercial Bank for Investment & Development of Vietnam (BIDV), ,0,0,0
64,CQCT,Company Limited Trading Services Onyx Cosmetics, ,0,0,0
65,CQCT,Central Motor Vehicle Register 5006V, ,0,0,0
66,CQCT,Company Limited Automotive UK Tm Dv Germany, ,0,0,0
67,HH,Office Building Petrolimex Saigon, ,0,0,0
68,CQCT,Company Limited Vietnam Full Development, ,0,0,0
69,NNO,Existing Residential,Nguyen Van Linh,181.99,0,0
70,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
71,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
72,NNO,Existing Residential,Nguyen Thi Minh Khai,542.46,0,0
73,CQCT,Company Limited Food Calisa, ,0,0,0
74,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
75,GD,Hoa Sen  Kindergarten, ,0,0,0
76,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
77,CQCT,Branch Company Limited MTV Starfish, ,0,0,0
78,CCDT,Police Tan Hung Ward, ,0,0,0
79,NNO,Existing Residential,Nguyen Thi Minh Khai,542.46,0,0
80,CQCT,JSC King Food Market, ,0,0,0
81,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
82,NNO,Existing Residential, ,0,0,0
83,CQCT,Company Limited Vinh Hung Thinh Construction, ,0,0,0
84,HH,"T1b, Apartment M-One South Saigon",Be Van Cam,45.8,17.5,0
85,HH,Apartment M-One,Be Van Cam,45.8,17.5,0
86,GD,Dang Thuy Tram Primary school, ,0,0,0
87,GD,No. 1 Kindergarten, ,0,0,0
88,NNO,Existing Residential,Tan My,140,0,0
89,GD,Suong Mai  Kindergarten, ,0,0,0
90,CQCT,Ho Chi Minh Tien Phong Bank Livebank, ,0,0,0
91,NNO,Existing Residential,Nguyen Thi Minh Khai,542.46,0,0
92,GD,No. 5 Kindergarten, ,0,0,0
93,HH,Construction Bank - Cb Saigon, ,0,0,0
94,HH,Eco Green Saigon District 7 - Xuan Mai Corp.,Tan Thuan Tay,54,20,0
95,HH,The Vietnam Bank (Viet Capital Bank) - Head Office, ,0,0,0
96,GD,Phan Van Han Primary school, ,0,0,0
97,CQCT,Duc Khai Corporation, ,0,0,0
98,NNO,Existing Residential, ,0,0,0
99,NNO,Existing Residential, ,0,0,0
100,NNO,Existing Residential,Nguyen Bieu,238.33,0,0
101,NNO,Existing Residential, ,0,0,0
102,NNO,Existing Residential,Nguyen Thi Minh Khai,542.46,0,0
103,NNO,Existing Residential, ,0,0,0
104,NNO,Existing Residential, ,0,0,0
105,NNO,Existing Residential, ,0,0,0
106,NNO,Existing Residential, ,0,0,0
107,NNO,Existing Residential,Le Van Luong,140.83,0,0
108,NNO,Existing Residential, ,0,0,0
109,NNO,Existing Residential, ,0,0,0
110,NNO,Existing Residential, ,0,0,0
111,NNO,Existing Residential, ,0,0,0
112,NNO,Existing Residential, ,0,0,0
113,NNO,Existing Residential,Cao Dat,363.12,0,0
114,NNO,Existing Residential, ,0,0,0
115,NNO,Existing Residential,Nguyen Thi Minh Khai,542.46,0,0
116,NNO,Existing Residential, ,0,0,0
117,NNO,Existing Residential, ,0,0,0
118,NNO,Existing Residential, ,0,0,0
119,NNO,Existing Residential, ,0,0,0
120,NNO,Existing Residential,Le Van Luong,140.83,0,0
121,NNO,Existing Residential, ,0,0,0
122,NNO,Existing Residential, ,0,0,0
123,NNO,Existing Residential,Da Nam,165.99,0,0
124,NNO,Existing Residential, ,0,0,0
125,NNO,Existing Residential, ,0,0,0
126,NNO,Existing Residential,No.17,138.97,0,0
127,NNO,Existing Residential,Vo Van Tan,563.98,0,0
128,TGDT,Religious, ,0,0,0
129,NNO,Existing Residential, ,0,0,0
130,NNO,Existing Residential, ,0,0,0
131,NNO,Existing Residential, ,0,0,0
132,NNO,Existing Residential, ,0,0,0
133,NNO,Existing Residential,Le Van Luong,140.83,0,0
134,NNO,Existing Residential, ,0,0,0
135,NNO,Existing Residential, ,0,0,0
136,NNO,Existing Residential, ,0,0,0
137,NNO,Existing Residential, ,0,0,0
138,NNO,Existing Residential, ,0,0,0
139,NNO,Existing Residential,Cao Dat,363.12,0,0
140,NNO,Existing Residential,No.17,138.97,0,0
141,NNO,Existing Residential,Nguyen Thuong Hien,270.41,0,0
142,NNO,Existing Residential,Nguyen Thi Minh Khai,542.46,0,0
143,NNO,Existing Residential, ,0,0,0
144,NNO,Existing Residential, ,0,0,0
145,NNO,Existing Residential, ,0,0,0
146,NNO,Existing Residential, ,0,0,0
147,NNO,Existing Residential,Le Van Luong,140.83,0,0
148,NNO,Existing Residential, ,0,0,0
149,NNO,Existing Residential, ,0,0,0
150,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
151,NNO,Existing Residential,Da Nam,165.99,0,0
152,NNO,Existing Residential, ,0,0,0
153,NNO,Existing Residential, ,0,0,0
154,NNO,Existing Residential, ,0,0,0
155,NNO,Existing Residential, ,0,0,0
156,NNO,Existing Residential,Nguyen Thi Minh Khai,542.46,0,0
157,NNO,Existing Residential, ,0,0,0
158,NNO,Existing Residential, ,0,0,0
159,NNO,Existing Residential, ,0,0,0
160,NNO,Existing Residential, ,0,0,0
161,NNO,Existing Residential,Le Van Luong,140.83,0,0
162,NNO,Existing Residential, ,0,0,0
163,NNO,Existing Residential, ,0,0,0
164,NNO,Existing Residential, ,0,0,0
165,NNO,Existing Residential,Da Nam,165.99,0,0
166,NNO,Existing Residential, ,0,0,0
167,NNO,Existing Residential,Cao Dat,363.12,0,0
168,NNO,Existing Residential, ,0,0,0
169,NNO,Existing Residential, ,0,0,0
170,NNO,Existing Residential,Nguyen Thi Minh Khai,542.46,0,0
171,NNO,Existing Residential, ,0,0,0
172,NNO,Existing Residential, ,0,0,0
173,NNO,Existing Residential, ,0,0,0
174,NNO,Existing Residential, ,0,0,0
175,NNO,Existing Residential, ,0,0,0
176,NNO,Existing Residential, ,0,0,0
177,NNO,Existing Residential, ,0,0,0
178,NNO,Existing Residential, ,0,0,0
179,NNO,Existing Residential,Da Nam,165.99,0,0
180,NNO,Existing Residential, ,0,0,0
181,NNO,Existing Residential,Cao Dat,363.12,0,0
182,NNO,Existing Residential,Lam Van Ben,246.46,0,0
183,NNO,Existing Residential, ,0,0,0
184,NNO,Existing Residential, ,0,0,0
185,NNO,Existing Residential, ,0,0,0
186,NNO,Existing Residential, ,0,0,0
187,NNO,Existing Residential, ,0,0,0
188,NNO,Existing Residential, ,0,0,0
189,NNO,Existing Residential, ,0,0,0
190,NNO,Existing Residential, ,0,0,0
191,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
192,NNO,Existing Residential, ,0,0,0
193,NNO,Existing Residential, ,0,0,0
194,NNO,Existing Residential, ,0,0,0
195,NNO,Existing Residential,No.17,138.97,0,0
196,NNO,Existing Residential, ,0,0,0
197,NNO,Existing Residential,Cao Thang,518.6,0,0
198,NNO,Existing Residential, ,0,0,0
199,NNO,Existing Residential, ,0,0,0
200,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
201,NNO,Existing Residential, ,0,0,0
202,NNO,Existing Residential, ,0,0,0
203,NNO,Existing Residential, ,0,0,0
204,NNO,Existing Residential, ,0,0,0
205,NNO,Existing Residential, ,0,0,0
206,NNO,Existing Residential,Da Nam,165.99,0,0
207,NNO,Existing Residential, ,0,0,0
208,NNO,Existing Residential,Cao Dat,363.12,0,0
209,NNO,Existing Residential,Lam Van Ben,246.46,0,0
210,NNO,Existing Residential, ,0,0,0
211,NNO,Existing Residential, ,0,0,0
212,NNO,Existing Residential, ,0,0,0
213,NNO,Existing Residential, ,0,0,0
214,NNO,Existing Residential, ,0,0,0
215,NNO,Existing Residential, ,0,0,0
216,NNO,Existing Residential, ,0,0,0
217,NNO,Existing Residential, ,0,0,0
218,NNO,Existing Residential, ,0,0,0
219,NNO,Existing Residential, ,0,0,0
220,NNO,Existing Residential, ,0,0,0
221,NNO,Existing Residential,Cao Dat,363.12,0,0
222,NNO,Existing Residential, ,0,0,0
223,NNO,Existing Residential, ,0,0,0
224,NNO,Existing Residential, ,0,0,0
225,NNO,Existing Residential, ,0,0,0
226,NNO,Existing Residential, ,0,0,0
227,NNO,Existing Residential, ,0,0,0
228,NNO,Existing Residential, ,0,0,0
229,NNO,Existing Residential, ,0,0,0
230,NNO,Existing Residential, ,0,0,0
231,NNO,Existing Residential,Da Nam,165.99,0,0
232,NNO,Existing Residential, ,0,0,0
233,NNO,Existing Residential, ,0,0,0
234,NNO,Existing Residential, ,0,0,0
235,NNO,Existing Residential, ,0,0,0
236,NNO,Existing Residential, ,0,0,0
237,NNO,Existing Residential, ,0,0,0
238,NNO,Existing Residential, ,0,0,0
239,NNO,Existing Residential, ,0,0,0
240,NNO,Existing Residential, ,0,0,0
241,NNO,Existing Residential, ,0,0,0
242,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
243,NNO,Existing Residential,Da Nam,165.99,0,0
244,NNO,Existing Residential, ,0,0,0
245,NNO,Existing Residential,Cao Dat,363.12,0,0
246,NNO,Existing Residential, ,0,0,0
247,NNO,Existing Residential, ,0,0,0
248,NNO,Existing Residential, ,0,0,0
249,NNO,Existing Residential, ,0,0,0
250,NNO,Existing Residential, ,0,0,0
251,NNO,Existing Residential, ,0,0,0
252,NNO,Existing Residential, ,0,0,0
253,NNO,Existing Residential, ,0,0,0
254,NNO,Existing Residential, ,0,0,0
255,NNO,Existing Residential,Da Nam,165.99,0,0
256,NNO,Existing Residential, ,0,0,0
257,NNO,Existing Residential, ,0,0,0
258,HTKT,Port, ,0,0,0
259,NNO,Existing Residential,Nguyen Thuong Hien,270.41,0,0
260,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
261,NNO,Existing Residential, ,0,0,0
262,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
263,NNO,Existing Residential, ,0,0,0
264,NNO,Existing Residential, ,0,0,0
265,NNO,Existing Residential, ,0,0,0
266,NNO,Existing Residential, ,0,0,0
267,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
268,NNO,Existing Residential,Da Nam,165.99,0,0
269,NNO,Existing Residential, ,0,0,0
270,NNO,Existing Residential,Cao Dat,363.12,0,0
271,ANQP,National defense - security, ,0,0,0
272,NNO,Existing Residential, ,0,0,0
273,NNO,Existing Residential, ,0,0,0
274,NNO,Existing Residential, ,0,0,0
275,NNO,Existing Residential, ,0,0,0
276,NNO,Existing Residential, ,0,0,0
277,NNO,Existing Residential, ,0,0,0
278,NNO,Existing Residential, ,0,0,0
279,NNO,Existing Residential, ,0,0,0
280,NNO,Existing Residential, ,0,0,0
281,NNO,Existing Residential,Da Nam,165.99,0,0
282,NNO,Existing Residential, ,0,0,0
283,NNO,Existing Residential,Cao Dat,363.12,0,0
284,HTKT,Port, ,0,0,0
285,NNO,Existing Residential, ,0,0,0
286,NNO,Existing Residential, ,0,0,0
287,NNO,Existing Residential, ,0,0,0
288,NNO,Existing Residential, ,0,0,0
289,NNO,Existing Residential, ,0,0,0
290,NNO,Existing Residential, ,0,0,0
291,NNO,Existing Residential, ,0,0,0
292,NNO,Existing Residential, ,0,0,0
293,NNO,Existing Residential, ,0,0,0
294,NNO,Existing Residential,Da Nam,165.99,0,0
295,NNO,Existing Residential, ,0,0,0
296,NNO,Existing Residential, ,0,0,0
297,HTKT,Port, ,0,0,0
298,NNO,Existing Residential, ,0,0,0
299,NNO,Existing Residential, ,0,0,0
300,NNO,Existing Residential, ,0,0,0
301,NNO,Existing Residential, ,0,0,0
302,NNO,Existing Residential, ,0,0,0
303,NNO,Existing Residential, ,0,0,0
304,NNO,Existing Residential, ,0,0,0
305,NNO,Existing Residential, ,0,0,0
306,NNO,Existing Residential,Nguyen Huu Tho,140,0,0
307,NNO,Existing Residential,Da Nam,165.99,0,0
308,NNO,Existing Residential, ,0,0,0
309,NNO,Existing Residential,Cao Dat,363.12,0,0
310,CCDT,Service - Commercial, ,0,0,0
311,NNO,Existing Residential, ,0,0,0
312,NNO,Existing Residential, ,0,0,0
313,NNO,Existing Residential, ,0,0,0
314,NNO,Existing Residential, ,0,0,0
315,NNO,Existing Residential, ,0,0,0
316,NNO,Existing Residential, ,0,0,0
317,NNO,Existing Residential, ,0,0,0
318,NNO,Existing Residential, ,0,0,0
319,NNO,Existing Residential,Le Van Luong,140.83,0,0
320,NNO,Existing Residential, ,0,0,0
321,NNO,Existing Residential, ,0,0,0
322,NNO,Existing Residential,Cao Dat,363.12,0,0
323,NNO,Existing Residential, ,0,0,0
324,NNO,Existing Residential, ,0,0,0
325,NNO,Existing Residential, ,0,0,0
326,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
327,NNO,Existing Residential, ,0,0,0
328,NNO,Existing Residential, ,0,0,0
329,NNO,Existing Residential, ,0,0,0
330,NNO,Existing Residential, ,0,0,0
331,NNO,Existing Residential, ,0,0,0
332,NNO,Existing Residential,Da Nam,165.99,0,0
333,NNO,Existing Residential, ,0,0,0
334,NNO,Existing Residential, ,0,0,0
335,CCDT,Medical, ,0,0,0
336,NNO,Existing Residential, ,0,0,0
337,NNO,Existing Residential, ,0,0,0
338,NNO,Existing Residential, ,0,0,0
339,NNO,Existing Residential, ,0,0,0
340,NNO,Existing Residential, ,0,0,0
341,NNO,Existing Residential, ,0,0,0
342,NNO,Existing Residential, ,0,0,0
343,NNO,Existing Residential, ,0,0,0
344,NNO,Existing Residential,Da Nam,165.99,0,0
345,NNO,Existing Residential, ,0,0,0
346,NNO,Existing Residential,Cao Dat,363.12,0,0
347,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
348,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
349,NNO,Existing Residential, ,0,0,0
350,NNO,Existing Residential, ,0,0,0
351,NNO,Existing Residential, ,0,0,0
352,NNO,Existing Residential, ,0,0,0
353,NNO,Existing Residential, ,0,0,0
354,NNO,Existing Residential, ,0,0,0
355,NNO,Existing Residential, ,0,0,0
356,NNO,Existing Residential,Da Nam,165.99,0,0
357,NNO,Existing Residential, ,0,0,0
358,NNO,Existing Residential, ,0,0,0
359,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
360,NNO,Existing Residential, ,0,0,0
361,NNO,Existing Residential, ,0,0,0
362,NNO,Existing Residential, ,0,0,0
363,NNO,Existing Residential, ,0,0,0
364,NNO,Existing Residential, ,0,0,0
365,NNO,Existing Residential, ,0,0,0
366,NNO,Existing Residential, ,0,0,0
367,NNO,Existing Residential, ,0,0,0
368,NNO,Existing Residential, ,0,0,0
369,NNO,Existing Residential, ,0,0,0
370,NNO,Existing Residential, ,0,0,0
371,NNO,Existing Residential, ,0,0,0
372,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
373,NNO,Existing Residential, ,0,0,0
374,NNO,Existing Residential, ,0,0,0
375,NNO,Existing Residential, ,0,0,0
376,NNO,Existing Residential, ,0,0,0
377,NNO,Existing Residential, ,0,0,0
378,NNO,Existing Residential, ,0,0,0
379,NNO,Existing Residential, ,0,0,0
380,NNO,Existing Residential, ,0,0,0
381,NNO,Existing Residential, ,0,0,0
382,NNO,Existing Residential,Da Nam,165.99,0,0
383,NNO,Existing Residential, ,0,0,0
384,NNO,Existing Residential, ,0,0,0
385,NNO,Existing Residential, ,0,0,0
386,NNO,Existing Residential,Nguyen Thuong Hien,270.41,0,0
387,NNO,Existing Residential, ,0,0,0
388,NNO,Existing Residential, ,0,0,0
389,NNO,Existing Residential, ,0,0,0
390,NNO,Existing Residential, ,0,0,0
391,NNO,Existing Residential,Le Van Luong,140.83,0,0
392,NNO,Existing Residential, ,0,0,0
393,NNO,Existing Residential, ,0,0,0
394,NNO,Existing Residential, ,0,0,0
395,NNO,Existing Residential, ,0,0,0
396,NNO,Existing Residential, ,0,0,0
397,NNO,Existing Residential, ,0,0,0
398,NNO,Existing Residential, ,0,0,0
399,NNO,Existing Residential, ,0,0,0
400,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
401,NNO,Existing Residential, ,0,0,0
402,NNO,Existing Residential, ,0,0,0
403,NNO,Existing Residential, ,0,0,0
404,NNO,Existing Residential,Le Van Luong,140.83,0,0
405,NNO,Existing Residential, ,0,0,0
406,NNO,Existing Residential, ,0,0,0
407,NNO,Existing Residential, ,0,0,0
408,NNO,Existing Residential, ,0,0,0
409,NNO,Existing Residential, ,0,0,0
410,NNO,Existing Residential, ,0,0,0
411,NNO,Existing Residential, ,0,0,0
412,NNO,Existing Residential, ,0,0,0
413,NNO,Existing Residential, ,0,0,0
414,NNO,Existing Residential, ,0,0,0
415,NNO,Existing Residential, ,0,0,0
416,NNO,Existing Residential, ,0,0,0
417,NNO,Existing Residential, ,0,0,0
418,NNO,Existing Residential, ,0,0,0
419,NNO,Existing Residential, ,0,0,0
420,NNO,Existing Residential, ,0,0,0
421,NNO,Existing Residential,Da Nam,165.99,0,0
422,NNO,Existing Residential, ,0,0,0
423,NNO,Existing Residential, ,0,0,0
424,NNO,Existing Residential, ,0,0,0
425,NNO,Existing Residential, ,0,0,0
426,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
427,NNO,Existing Residential,Nguyen Van Linh,181.99,0,0
428,NNO,Existing Residential, ,0,0,0
429,NNO,Existing Residential, ,0,0,0
430,NNO,Existing Residential, ,0,0,0
431,NNO,Existing Residential, ,0,0,0
432,NNO,Existing Residential, ,0,0,0
433,NNO,Existing Residential, ,0,0,0
434,NNO,Existing Residential, ,0,0,0
435,NNO,Existing Residential, ,0,0,0
436,NNO,Existing Residential, ,0,0,0
437,NNO,Existing Residential, ,0,0,0
438,NNO,Existing Residential, ,0,0,0
439,NNO,Existing Residential, ,0,0,0
440,NNO,Existing Residential, ,0,0,0
441,NNO,Existing Residential, ,0,0,0
442,NNO,Existing Residential,Lam Van Ben,246.46,0,0
443,NNO,Existing Residential, ,0,0,0
444,NNO,Existing Residential, ,0,0,0
445,NNO,Existing Residential, ,0,0,0
446,NNO,Existing Residential, ,0,0,0
447,NNO,Existing Residential,Da Nam,165.99,0,0
448,NNO,Existing Residential, ,0,0,0
449,NNO,Existing Residential, ,0,0,0
450,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
451,NNO,Existing Residential, ,0,0,0
452,NNO,Existing Residential, ,0,0,0
453,NNO,Existing Residential, ,0,0,0
454,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
455,NNO,Existing Residential,Lam Van Ben,246.46,0,0
456,NNO,Existing Residential, ,0,0,0
457,NNO,Existing Residential, ,0,0,0
458,NNO,Existing Residential,Hoang Trong Mau,38,0,0
459,NNO,Existing Residential,Le Van Luong,140.83,0,0
460,NNO,Existing Residential, ,0,0,0
461,NNO,Existing Residential, ,0,0,0
462,NNO,Existing Residential, ,0,0,0
463,NNO,Existing Residential, ,0,0,0
464,NNO,Existing Residential, ,0,0,0
465,NNO,Existing Residential, ,0,0,0
466,NNO,Existing Residential, ,0,0,0
467,NNO,Existing Residential, ,0,0,0
468,NNO,Existing Residential,Lam Van Ben,246.46,0,0
469,NNO,Existing Residential, ,0,0,0
470,NNO,Existing Residential,Hoang Trong Mau,38,0,0
471,NNO,Existing Residential, ,0,0,0
472,NNO,Existing Residential, ,0,0,0
473,NNO,Existing Residential, ,0,0,0
474,NNO,Existing Residential, ,0,0,0
475,CQCT,Office, ,0,0,0
476,NNO,Existing Residential, ,0,0,0
477,NNO,Existing Residential, ,0,0,0
478,NNO,Existing Residential,Nguyen Van Linh,181.99,0,0
479,NNO,Existing Residential, ,0,0,0
480,NNO,Existing Residential, ,0,0,0
481,NNO,Existing Residential, ,0,0,0
482,NNO,Existing Residential, ,0,0,0
483,NNO,Existing Residential, ,0,0,0
484,NNO,Existing Residential, ,0,0,0
485,NNO,Existing Residential, ,0,0,0
486,NNO,Existing Residential,Duong Ba Trac,168.06,0,0
487,NNO,Existing Residential, ,0,0,0
488,NNO,Existing Residential, ,0,0,0
489,NNO,Existing Residential, ,0,0,0
490,NNO,Existing Residential, ,0,0,0
491,NNO,Existing Residential, ,0,0,0
492,GD,Educational, ,0,0,0
493,NNO,Existing Residential, ,0,0,0
494,NNO,Existing Residential, ,0,0,0
495,NNO,Existing Residential, ,0,0,0
496,NNO,Existing Residential, ,0,0,0
497,NNO,Existing Residential, ,0,0,0
498,NNO,Existing Residential, ,0,0,0
499,NNO,Existing Residential, ,0,0,0
500,NNO,Existing Residential, ,0,0,0
501,NNO,Existing Residential, ,0,0,0
502,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
503,NNO,Existing Residential, ,0,0,0
504,NNO,Existing Residential, ,0,0,0
505,NNO,Existing Residential, ,0,0,0
506,NNO,Existing Residential, ,0,0,0
507,NNO,Existing Residential, ,0,0,0
508,NNO,Existing Residential, ,0,0,0
509,NNO,Existing Residential,Duong Ba Trac,168.06,0,0
510,NNO,Existing Residential, ,0,0,0
511,NNO,Existing Residential, ,0,0,0
512,NNO,Existing Residential, ,0,0,0
513,NNO,Existing Residential, ,0,0,0
514,NNO,Existing Residential, ,0,0,0
515,NNO,Existing Residential,Lam Van Ben,246.46,0,0
516,NNO,Existing Residential, ,0,0,0
517,NNO,Existing Residential, ,0,0,0
518,NNO,Existing Residential, ,0,0,0
519,NNO,Existing Residential, ,0,0,0
520,NNO,Existing Residential, ,0,0,0
521,NNO,Existing Residential,Duong Ba Trac,168.06,0,0
522,NNO,Existing Residential, ,0,0,0
523,NNO,Existing Residential, ,0,0,0
524,NNO,Existing Residential, ,0,0,0
525,NNO,Existing Residential, ,0,0,0
526,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
527,NNO,Existing Residential,Lam Van Ben,246.46,0,0
528,NNO,Existing Residential, ,0,0,0
529,NNO,Existing Residential, ,0,0,0
530,NNO,Existing Residential, ,0,0,0
531,NNO,Existing Residential, ,0,0,0
532,NNO,Existing Residential,Da Nam,165.99,0,0
533,NNO,Existing Residential,Duong Ba Trac,168.06,0,0
534,NNO,Existing Residential, ,0,0,0
535,NNO,Existing Residential, ,0,0,0
536,NNO,Existing Residential, ,0,0,0
537,NNO,Existing Residential, ,0,0,0
538,NNO,Existing Residential,Lam Van Ben,246.46,0,0
539,NNO,Existing Residential, ,0,0,0
540,NNO,Existing Residential, ,0,0,0
541,NNO,Existing Residential, ,0,0,0
542,NNO,Existing Residential, ,0,0,0
543,NNO,Existing Residential,Da Nam,165.99,0,0
544,NNO,Existing Residential,Duong Ba Trac,168.06,0,0
545,NNO,Existing Residential, ,0,0,0
546,NNO,Existing Residential, ,0,0,0
547,NNO,Existing Residential, ,0,0,0
548,NNO,Existing Residential, ,0,0,0
549,NNO,Existing Residential, ,0,0,0
550,NNO,Existing Residential,Lam Van Ben,246.46,0,0
551,NNO,Existing Residential, ,0,0,0
552,NNO,Existing Residential, ,0,0,0
553,NNO,Existing Residential, ,0,0,0
554,NNO,Existing Residential, ,0,0,0
555,NNO,Existing Residential, ,0,0,0
556,NNO,Existing Residential, ,0,0,0
557,NNO,Existing Residential, ,0,0,0
558,NNO,Existing Residential, ,0,0,0
559,NNO,Existing Residential, ,0,0,0
560,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
561,NNO,Existing Residential, ,0,0,0
562,NNO,Existing Residential, ,0,0,0
563,NNO,Existing Residential, ,0,0,0
564,NNO,Existing Residential, ,0,0,0
565,NNO,Existing Residential, ,0,0,0
566,NNO,Existing Residential, ,0,0,0
567,NNO,Existing Residential, ,0,0,0
568,NNO,Existing Residential, ,0,0,0
569,NNO,Existing Residential, ,0,0,0
570,NNO,Existing Residential, ,0,0,0
571,NNO,Existing Residential,Huynh Tan Phat,141.31,0,0
572,NNO,Existing Residential,Lam Van Ben,246.46,0,0
573,NNO,Existing Residential, ,0,0,0
574,NNO,Existing Residential, ,0,0,0
575,NNO,Existing Residential, ,0,0,0
576,NNO,Existing Residential, ,0,0,0
577,NNO,Existing Residential,Da Nam,165.99,0,0
578,NNO,Existing Residential, ,0,0,0
579,NNO,Existing Residential, ,0,0,0
